,WILMINGTON PRICE INDEX(Y),YEARLY SL (SEA LEVEL) (X)
0,0.011833333,0.011833333
1,-0.006666667,-0.025166667
2,-0.016000000333333333,-0.034666667
3,-0.0185208335,-0.026083333
4,-0.029250000200000004,-0.072166667
5,-0.028888889,-0.027083333
6,-0.029154762,-0.03075
7,-0.024114583375000002,0.011166667
8,-0.02082407411111111,0.0055
9,-0.01745,0.012916667
10,-0.0206,-0.019666667
11,-0.012316666600000001,0.057666667
12,-0.007349999900000001,0.015
13,-0.003941666600000001,0.008
14,0.006950000099999999,0.03675
15,0.016516666699999998,0.068583333
16,0.0207916667,0.012
17,0.0171833333,-0.024916667
18,0.015408333299999999,-0.01225
19,0.0170666666,0.0295
20,0.0160916666,-0.029416667
21,0.012474999899999999,0.0215
22,0.0119749999,0.01
23,0.009624999899999999,-0.0155
24,0.0054249999,-0.00525
25,0.0026749999,0.041083333
